code,name
clarkz-il.dat,CLARK Z AIRFOIL
clarym15-il.dat,CLARK YM-15 AIRFOIL
clarym18-il.dat,CLARK YM-18 AIRFOIL
coanda1-il.dat,Coanda 1
coanda2-il.dat,Coanda 2
coanda3-il.dat,Coanda 3
cootie-il.dat,WACO COOTIE AIRFOIL
cp-060-050-gn.dat,Cambered plate C=6% T=5% R=2.11
cp-080-050-gn.dat,Cambered plate C=8% T=5% R=1.6
cp-100-050-gn.dat,Cambered plate C=10% T=5% R=1.3
cp-120-050-gn.dat,Cambered plate C=12% T=5% R=1.1
cp-140-050-gn.dat,Cambered plate C=14% T=5% R=0.96
cp-160-050-gn.dat,Cambered plate C=16% T=5% R=0.86
cp-180-050-gn.dat,Cambered plate C=18% T=5% R=0.78
cr001sm-il.dat,cr001sm
cr1-il.dat,CURTISS CR-1 AIRFOIL
curtisc72-il.dat,Curtis C-72
dae11-il.dat,DAE-11 AIRFOIL
dae21-il.dat,DAE-21 AIRFOIL
dae31-il.dat,DAE-31 AIRFOIL
dae51-il.dat,DAE-51 AIRFOIL
davis-corrected-il.dat,DAVIS BASIC B-24 WING AIRFOIL
davis-il.dat,Davis AIRFOIL
davissm-il.dat,davissm
daytonwright6-il.dat,Dayton-Wright 6
daytonwrightt1-il.dat,Dayton-Wright T-1
dbln526-il.dat,SIKORSKY DBLN-526 AIRFOIL
defcnd1-il.dat,DEFIANT CANARD BL20 AIRFOIL
defcnd2-il.dat,DEFIANT CANARD BL110 AIRFOIL
defcnd3-il.dat,DEFIANT CANARD BL145 AIRFOIL
df101-il.dat,DF 101 AIRFOIL
df102-il.dat,DF102
dfvlrr4-il.dat,DFVLR R-4 AIRFOIL
dga1138-il.dat,D.G.A. 1138
dga1182-il.dat,D.G.A. 1182
dh4009sm-il.dat,dh4009sm
doa5-il.dat,DORNIER A-5 AIRFOIL
dormoy-il.dat,Dormoy
drgnfly-il.dat,DRAGONFLY CANARD
dsma523a-il.dat,DSMA-523A AIRFOIL
dsma523b-il.dat,DSMA-523B AIRFOIL
du06-w-200-dt.dat,DU 06-W-200  VAWT airfoil
du84132v-il.dat,DELFT DU84-132V3 AIRFOIL (MEASURED)
du8608418-il.dat,DU86-084/18 8.44%
du861372-il.dat,DU 86-137/25 AIRFOIL
e1098-il.dat,EPPLER 1098 AIRFOIL
e1200-il.dat,EPPLER 1200 AIRFOIL
e1210-il.dat,EPPLER 1210 AIRFOIL
e1211-il.dat,EPPLER 1211 AIRFOIL
e1212-il.dat,EPPLER E1212 AIRFOIL
e1212mod-il.dat,EPPLER E1212MOD AIRFOIL
e1213-il.dat,EPPLER 1213 AIRFOIL
