code,name
goe180-il.dat,GOE 180 (MVA H.26) AIRFOIL
goe182-il.dat,GOE 182 (MVA H.27) AIRFOIL
goe184-il.dat,GOE 184 (MVA H.29) AIRFOIL
goe187-il.dat,GOE 187 (SCHTTE-LANZ 2U10) AIRFOIL
goe188-il.dat,GOE 188 (SCHTTE-LANZ 3U10) AIRFOIL
goe190-il.dat,GOE 190 (MVA MK.18) AIRFOIL
goe195-il.dat,GOE 195 AIRFOIL
goe198-il.dat,GOE 198 (L.F.G. 5294) AIRFOIL
goe199-il.dat,GOE 199 (L.F.G. 5406) AIRFOIL
goe207-il.dat,GOE 207 (AVIATIK V8) AIRFOIL
goe210-il.dat,GOE 210 (DAIMLER) AIRFOIL
goe217-il.dat,GOE 217 (MVA MK.12) AIRFOIL
goe222-il.dat,GOE 222 (MVA H.33) AIRFOIL
goe223-il.dat,GOE 223 (MVA H.34) AIRFOIL
goe225-il.dat,GOE 225 (MVA H.35) AIRFOIL
goe226-il.dat,GOE 226 (MVA H.36) AIRFOIL
goe227-il.dat,GOE 227 (MVA H.37) AIRFOIL
goe228-il.dat,GOE 228 (MVA H.38) AIRFOIL
goe229-il.dat,GOE 229 (MVA H.39) AIRFOIL
goe233-il.dat,GOE 233 (MVA CA4) AIRFOIL
goe234-il.dat,GOE 234 (MVA CA5) AIRFOIL
goe235-il.dat,GOE 235 (SCHTTE-LANZ) AIRFOIL
goe238-il.dat,GOE 238 (HANSA-BRANDENBURG) AIRFOIL
goe239-il.dat,GOE 239 (MVA H.31) AIRFOIL
goe240-il.dat,GOE 240 (KOLLER) AIRFOIL
goe241-il.dat,GOE 241 (MVA PR.1) AIRFOIL
goe242-il.dat,GOE 242 (MVA PR.2) AIRFOIL
goe243-il.dat,GOE 243 (MVA PR.3) AIRFOIL
goe244-il.dat,GOE 244 (MVA PR.4) AIRFOIL
goe255-il.dat,GOE 255 (MVA CA.6) AIRFOIL
goe256-il.dat,GOE 256 (JUNKERS E) AIRFOIL
goe257-il.dat,GOE 257 AIRFOIL
goe264-il.dat,GOE 264 AIRFOIL
goe265-il.dat,GOE 265 AIRFOIL
goe269-il.dat,GOE 269 AIRFOIL
goe274-il.dat,GOE 274 (DAIMLER V) AIRFOIL
goe275-il.dat,GOE 275 (DAIMLER VI) AIRFOIL
goe276-il.dat,GOE 276 (DAIMLER VII) AIRFOIL
goe277-il.dat,GOE 277 (DAIMLER VIII) AIRFOIL
goe278-il.dat,GOE 278 (DAIMLER IX) AIRFOIL
goe279-il.dat,GOE 279 (DAIMLER X) AIRFOIL
goe280-il.dat,GOE 280 (DAIMLER XI) AIRFOIL
goe281-il.dat,GOE 281 (DAIMLER XII) AIRFOIL
goe282-il.dat,GOE 282 (DAIMLER XIII) AIRFOIL
goe284-il.dat,GOE 284 AIRFOIL
goe285-il.dat,GOE 285 AIRFOIL
goe286-il.dat,GOE 286 AIRFOIL
goe287-il.dat,GOE 287 AIRFOIL
goe288-il.dat,GOE 288 AIRFOIL
goe289-il.dat,GOE 289 (MVA 289) AIRFOIL
goe290-il.dat,GOE 290 (MVA 290) AIRFOIL
goe298-il.dat,GOE 298 AIRFOIL
goe29b-il.dat,GOE 29B AIRFOIL
goe300-il.dat,GOE 300 (FRIEDRICHSHAFEN G20) AIRFOIL
goe301-il.dat,GOE 301 (FRIEDRICHSHAFEN G 13) AIRFOIL
goe303-il.dat,GOE 303 (FRIEDRICHSHAFEN G03) AIRFOIL
goe304-il.dat,GOE 304 (FRIEDRICHSHAFEN G02) AIRFOIL
goe308-il.dat,GOE 308 (MVA H.40) AIRFOIL
goe309-il.dat,GOE 309 (MVA H.41) AIRFOIL
goe310-il.dat,GOE 310 (MVA H.42) AIRFOIL
goe311-il.dat,GOE 311 (MVA H.43) AIRFOIL
goe314-il.dat,GOE 314 (HANSA-BRANDENBURG) AIRFOIL
goe315-il.dat,GOE 315 (HANSA-BRANDENBURG III.5) AIRFOIL
goe316-il.dat,GOE 316 (HANSA-BRANDENBURG IV.5) AIRFOIL
goe318-il.dat,GOE 318 (HANSA-BRANDENBURG VI.5) AIRFOIL
goe319-il.dat,GOE 319 (HANSA-BRANDENBURG II) AIRFOIL
goe320-il.dat,GOE 320 (HANSA-BRANDENBURG II.1) AIRFOIL
goe321-il.dat,GOE 321 (HANSA-BRANDENBURG III.1) AIRFOIL
goe322-il.dat,GOE 322 (HANSA-BRANDENBURG IV.1) AIRFOIL
goe323-il.dat,GOE 323 (HANSA-BRANDENBURG V.1) AIRFOIL
